Genus,Use,Form,CropSize,FruitFrequency,StemDensity,Productivity,Synchronicity,DBH,Rainfall
Adenanthera,0,Tree,II,0.015625,0.095238095,0.057365636,806.2257748,66,21.73
Adinandra,0,Tree,III,0.268456376,0.571428571,0.043773892,83.46587766,28.22483221,11.107375
Agathis,1,Tree,I,0.126984127,0.095238095,0.052744218,269.0042402,115,10.02
Agelaea,1,Vine,I,0.03475872,15.71428571,0.040592687,109.5774297,4.724810002,13.30058419
Aglaia,4,Tree,III,0.042253521,3.238095238,0.049162951,121.0939273,24.93815064,11.36246377
Alangium,1,Tree,IV,0.046616541,2.476190476,0.070979937,315.8406251,23.71804511,16.35709677
Alseodaphne,0,Tree,III,0.052208835,0.761904762,0.040866518,201.5564437,18.37550201,11.96153846
Ampelocissus,0,Vine,IV,0.00867052,1.523809524,0.068465186,316.0218215,4.823699422,9.836666667
Ancistrocladus,0,Vine,II,0.004662005,1.428571429,0.050425605,487.2395137,4.087412587,16.5075
Anthocephalus,0,Tree,III,0.196428571,NA,0.035770324,139.8132691,36.6875,10.24787879
Aporusa,0,Tree,III,0.014094955,2.571428571,0.071405462,247.3106736,18.70845697,14.35052632
Archidendron,0,Tree,III,0.038277512,0.952380952,0.047573839,148.1036084,34.88676236,11.51041667
Artabotrys,10,Vine,I,0.040025413,5.333333333,0.046669018,65.68329439,5.949809403,11.69777778
Artocarpus,3,Tree,I,0.006047279,2.952380952,0.065162304,287.3899358,26.33369984,9.708181818
Atuna,0,Tree,III,0.064171123,0.571428571,0.056482736,NA,40.58823529,12.39166667
Austrobuxus,0,Tree,IV,0.063492063,0.095238095,0.048003092,393.5515373,47,10.02
Baccaurea,1,Tree,III,0.060047406,7.523809524,0.052164559,82.98254742,21.49302081,11.79570175
Barringtonia,0,Tree,I,0.057823129,1.523809524,0.062300815,183.7189245,23,11.77470588
Bauhinia,0,Vine,I,0.033527697,1.428571429,0.050912918,196.2475844,7.424242424,13.9826087
Beilschmiedia,0,Tree,III,0.018939394,2.095238095,0.046206059,198.7146195,28.97954545,10.922
Bhesa,1,Tree,III,0.031578947,0.285714286,0.038323754,316.0218215,34.32105263,13.08166667
Blumeodendron,2,Tree,II,0.022931206,1.523809524,0.043631566,236.6097383,29.7557328,14.62782609
Buchanania,0,Tree,III,0.079365079,0.285714286,0.072847549,349.1060011,18,9.316
Byttneria,0,Vine,I,0.011261261,3.428571429,0.059293727,223.7185732,5.417246175,14.3728
Calophyllum,3,Tree,III,0.148695652,15.04761905,0.044212217,NA,27.19362319,11.57468811
Campnosperma,0,Tree,II,0.032258065,0.380952381,0.057986399,393.5515373,15,10.6
Canarium,0,Tree,III,0.032674119,2.380952381,0.050016297,84.94870743,25.10920034,10.99763158
Canthium,0,Tree,IV,0.105882353,0.476190476,0.045539673,194.5215896,20.2627451,10.93444444
Castanopsis,0,Tree,I,0.008503401,1.333333333,0.073870188,417.9563374,21.92346939,9.064
Chaetocarpus,0,Tree,IV,0.056712132,2.285714286,0.052784134,122.9818252,25.82555635,11.09227848
Cnestis,0,Vine,II,0.020627803,1.619047619,0.053658418,161.3498998,5.188034188,12.66913043
Combretum,0,Vine,II,0.005726557,4.571428571,0.057271348,227.4497712,5.236909557,10.86875
Connarus,0,Vine,I,0.003389831,2.285714286,0.063837317,393.5515373,5.630508475,11.2925
Copaifera,0,Tree,II,0.015873016,0.095238095,0.042211329,806.2257748,68,17.88
Coscinium,0,Vine,III,0.029761905,0.952380952,0.042825198,213.5187996,6.592255125,9.876666667
Cratoxylum,0,Tree,II,0.031531532,0.666666667,0.037084571,290.089272,31.16216216,14.64428571
Cryptocarya,0,Tree,I,0.011261261,0.761904762,0.051796903,417.9563374,21.40540541,9.284
Ctenolophon,0,Tree,III,0.028871391,1.904761905,0.045076247,177.9658168,40.84426947,11.22939394
Cyathocalyx,0,Tree,I,0.296363636,1.047619048,0.047628014,72.96125277,19.41818182,10.85748466
Dacryodes,0,Tree,III,0.012311902,4.857142857,0.045553313,146.373833,30.99145007,11.47305556
Dapania,0,Vine,IV,0.015873016,0.19047619,0.098671727,806.2257748,9,8.97
Dehaasia,0,Tree,I,0.023622047,0.285714286,0.032889613,458.1439002,25.02362205,10.74
Derris,0,Vine,II,0.004388715,2.571428571,0.069629795,333.3120742,5.672015404,12.96
Desmos,1,Vine,II,0.026360544,1.80952381,0.045124531,128.975542,5.478741497,11.20483871
Dialium,0,Tree,IV,0.00446761,2.19047619,0.039419994,316.0218215,25.20699926,11.35166667
Dillenia,0,Tree,I,0.00482509,1.714285714,0.053670818,393.5515373,34.05186972,10.8725
Diospyros,5,Tree,III,0.045435244,4.666666667,0.049068497,80.67009622,24.53375796,12.14373832
Dipterocarpus,0,Tree,II,0.005894214,10.66666667,0.067444066,204.8446941,45.8776175,12.16631579
Dissochaeta,0,Vine,III,0.01660281,1.333333333,0.045274871,220.0852108,4.360708535,10.14153846
Dracontomelon,4,Tree,IV,0.0512,0.952380952,0.04391202,114.2469613,46.2832,10.4928125
Durio,0,Tree,I,0.006342495,1.428571429,0.064830534,316.0218215,30.45243129,12.365
Dyera,0,Tree,I,0.063492063,0.095238095,0.042782225,393.5515373,88,8.2075
Dysoxylum,0,Tree,II,0.072072072,0.761904762,0.041084057,139.6395594,27.97297297,10.3234375
Elaeocarpus,0,Tree,III,0.111414528,3.238095238,0.048555317,84.4657505,24.68377936,11.89583333
Embelia,0,Vine,IV,0.010273973,1.238095238,0.052965555,496.5593424,5.445205479,13.09666667
Erycibe,0,Vine,III,0.027616279,1.238095238,0.050454315,168.0660321,4.918604651,10.46736842
Eugenia,0,Tree,III,0.014190317,4.095238095,0.053197541,169.3412844,23.70367279,10.32558824
Eusideroxylon,1,Tree,I,0.016042781,2.761904762,0.048408623,155.6498892,31.05213904,12.70083333
Fagraea,0,Vine,III,0.010676157,1.238095238,0.042659111,316.0218215,5.455516014,10.02166667
Ficus,29,Vine,IV,0.044189853,8.380952381,0.046997212,64.6672151,4.945390071,11.12469136
Fissistigma,0,Vine,II,0.014888337,2.476190476,0.05544286,206.9281313,4.759405074,10.665
Fordia,0,Tree,I,0.032258065,0.19047619,0.039743058,565.6163673,15,5.77
Friesodielsia,1,Vine,I,0.058902276,1.714285714,0.048943316,117.1026725,5.200803213,11.16318182
Garcinia,2,Tree,II,0.064239829,2.285714286,0.050932734,87.24057663,22.58743754,11.52244444
Gironniera,1,Tree,II,0.124945007,4.19047619,0.046244296,64.42705857,18.9133304,11.19338028
Gluta,0,Tree,II,0.008414239,3.238095238,0.069917301,355.7562368,30.34368932,13.15
Gnetum,1,Vine,IV,0.04005168,1.428571429,0.049101952,196.5120875,4.976744186,9.925806452
Gomphia,0,Tree,III,0.04296875,0.571428571,0.055406624,246.5149653,20.328125,9.831818182
Goniothalamus,0,Tree,II,0.016869728,1.714285714,0.04985264,316.0218215,20.37582006,14.70611111
Gonystylus,0,Tree,III,0.047619048,0.285714286,0.088984513,421.0647512,29,10.94333333
Gordonia,0,Tree,I,0.079268293,1.047619048,0.048106526,156.5621881,19.89939024,10.84538462
Grewia,0,Vine,IV,0.015584416,2.666666667,0.047388473,153.5743124,5.875624653,11.421
Gymnacranthera,1,Tree,III,0.031069995,9.047619048,0.061213178,138.7936101,24.91831035,12.64522472
Heritiera,0,Tree,IV,0.007961783,1.047619048,0.058209738,349.1060011,27.93789809,16.868
Hopea,0,Tree,IV,0.002702703,6,0.063578814,385.073045,25.52594595,9.17
Horsfieldia,0,Tree,IV,0.001766784,1.428571429,0.030120482,806.2257748,23.51060071,5.26
Hydnocarpus,4,Tree,I,0.088512241,2.571428571,0.048829392,69.42174318,34.52981795,11.97843972
Irvingia,1,Tree,III,0.10817942,0.571428571,0.05028816,147.1522256,47.43271768,13.34292683
Ixora,0,Tree,IV,0.108527132,0.19047619,0.035057677,192.3480384,19.96124031,12.55071429
Kibara,0,Tree,I,0.040909091,0.666666667,0.040694413,281.9478653,20.88636364,8.894444444
Knema,0,Tree,I,0.107169529,4.571428571,0.048307032,67.69517353,21.53323376,11.11407666
Kokoona,0,Tree,I,0.003968254,0.380952381,0.028257457,806.2257748,30.8015873,15.78
Koompassia,0,Tree,IV,0.006923838,1.619047619,0.077966308,406.1862195,45.55489614,17.92857143
Lansium,0,Tree,III,0.052910053,0.285714286,0.062149807,236.34588,25.32275132,11.063
Licania,0,Tree,IV,0.206349206,0.095238095,0.055984121,201.5564437,73,10.03307692
Lindera,0,Tree,III,0.243386243,0.380952381,0.042149677,133.8739312,23,10.23869565
Lithocarpus,0,Tree,II,0.045331529,3.333333333,0.050300683,105.6767538,35.57171854,12.31641791
Litsea,1,Tree,II,0.025125628,3.047619048,0.052519736,127.4754878,34.86264657,12.50777778
Macaranga,1,Tree,IV,0.011827957,1.714285714,0.057743925,223.2889486,22.51935484,11.43
Madhuca,0,Tree,III,0.029936306,2.285714286,0.057141514,180.4967587,27.12675159,13.80680851
Magnolia,0,Tree,I,0.080645161,0.095238095,0.059936508,349.1060011,42,11.24
Mallotus,0,Tree,III,0.031847134,0.761904762,0.050401046,236.34588,18.58917197,12.402
Mangifera,1,Tree,IV,0.00729927,0.666666667,0.088234387,458.1439002,30.51094891,15.83
Mednilla,0,Vine,I,0.016129032,0.285714286,0.060729847,806.2257748,3,6.43
Melanochyla,0,Tree,II,0.007936508,1.428571429,0.062818656,406.1862195,20.28231293,10.09714286
Memecylon,0,Tree,III,0.091935484,1.142857143,0.046003487,152.8714842,20.65806452,11.06157895
Mesua,0,Tree,I,0.102564103,0.476190476,0.050779284,119.7569866,20.06410256,11.698125
Mezzettia,0,Tree,I,0.031073446,0.571428571,0.050274188,246.5149653,35.89830508,11.98272727
Microcos,0,Tree,II,0.047016275,1.047619048,0.036622854,186.4554236,16.70524412,9.74
Monocarpia,0,Tree,I,0.063492063,0.19047619,0.050173548,269.0042402,20.5,12.06125
Myristica,0,Tree,I,0.054409006,1.904761905,0.051357849,115.7269391,26.36679174,10.82172414
Neoscortechinia,0,Tree,III,0.041228779,2.095238095,0.073108315,266.0990481,22.46968472,13.97294118
Nephelium,0,Tree,III,0.008196721,2.857142857,0.072498809,284.250965,26.61584699,14.40066667
Ochanostachys,0,Tree,III,0.041333333,3.619047619,0.073911339,295.7474911,37.98177778,10.03505376
Palaquium,0,Tree,II,0.02281089,6.476190476,0.058492388,126.5862185,30.83517292,13.12387097
Paracroton,0,Tree,I,0.057038835,1.904761905,0.046613257,141.5183541,22.84101942,9.90106383
Parartocarpus,0,Tree,III,0.026717557,0.476190476,0.051575363,290.089272,34.21374046,12.25571429
Parinari,1,Tree,III,0.087,1.523809524,0.045198923,159.1906043,26.48,9.326551724
Payena,0,Tree,I,0.00952381,0.476190476,0.086927753,458.1439002,23,11.21666667
Phytocrene,0,Vine,II,0.002663116,1.523809524,0.035858548,565.6163673,6.513981358,16.33
Pimelodendron,0,Tree,I,0.047244094,0.476190476,0.06109601,251.3850521,22.22047244,14.18333333
Piper,0,Vine,III,0.015873016,0.19047619,0.028981582,806.2257748,4,9.82
Planchonia,0,Tree,IV,0.006726457,0.857142857,0.067599871,458.1439002,48.88116592,16.47666667
Polyalthia,3,Tree,II,0.123256691,4.571428571,0.056429062,120.960661,20.84734263,10.48847095
Pometia,0,Tree,III,0.0546875,0.19047619,0.080807946,333.3120742,32.6171875,11.76142857
Popowia,0,Tree,I,0.226470588,3.714285714,0.046792123,94.72371298,16.85235294,10.42971429
Pouteria,0,Tree,III,0.090163934,5.80952381,0.065106622,180.300527,30.34849286,13.06545455
Prunus,1,Tree,II,0.023183926,1.047619048,0.048426069,284.250965,22.70015456,18.782
Pternandra,2,Tree,III,0.328456684,6.857142857,0.038292207,46.01725871,20.69477912,11.0809083
Quercus,0,Tree,II,0.059006211,0.857142857,0.051285233,156.8082134,24.0310559,11.77
Randia,0,Tree,II,0.175531915,0.476190476,0.057610208,156.1966162,16.00531915,11.63151515
Rhodamnia,1,Tree,I,0.051918736,0.666666667,0.050108076,236.6097383,21.12866817,12.25826087
Rourea,0,Vine,IV,0.018552876,4.380952381,0.054450013,159.1450547,5.453893932,13.17475
Ryparosa,0,Tree,IV,0.004807692,0.761904762,0.033438855,565.6163673,31.89903846,9.525
Sandoricum,0,Tree,II,0.042105263,0.285714286,0.046998594,269.0042402,42.78421053,10.54125
Santiria,0,Tree,IV,0.048242591,2.380952381,0.060348429,133.6664101,23.81426602,11.941
Sarcotheca,0,Tree,I,0.03968254,0.19047619,0.048300982,349.1060011,24,9.534
Scaphium,1,Tree,III,0.000549451,3.142857143,0.045618915,806.2257748,34.93846154,5.53
Schima,0,Tree,II,0.28042328,0.285714286,0.047592223,99.09590415,43,11.74660377
Scutinanthe,1,Tree,I,0.009433962,0.476190476,0.046245443,458.1439002,31.96226415,5.586666667
Shorea,0,Tree,III,0.005495176,27.14285714,0.078605539,261.8654146,42.67798877,11.85977778
Sindora,0,Tree,III,0.016582552,2.19047619,0.057487908,168.9072379,32.59192502,13.45086957
Spatholobus,0,Vine,II,0.005524862,0.761904762,0.037976612,565.6163673,10.13043478,4.825
Stemonurus,0,Tree,III,0.015873016,0.857142857,0.029989212,421.0647512,21.47619048,12.38555556
Sterculia,0,Tree,III,0.004405286,0.380952381,0.019973009,806.2257748,44.04405286,16.02
Strombosia,0,Tree,I,0.108482143,7.619047619,0.053861328,127.16992,24.01183036,12.31971193
Strychnos,0,Vine,II,0.05946201,8.095238095,0.047068864,92.04617208,6.526725791,11.28305556
Syzygium,9,Tree,III,0.028414456,20.66666667,0.050405839,74.83547045,29.87664177,11.45610272
Ternstroemia,0,Tree,III,0.084684685,1.047619048,0.043829458,139.3906296,28.08828829,10.11617021
Tetracera,0,Vine,III,0.017367459,3.523809524,0.068685621,232.0513274,4.505027422,10.82157895
Tetramerista,0,Tree,III,0.033898305,0.571428571,0.048191852,269.0042402,46.83050847,9.545
Tetrastigma,0,Vine,III,0.0022553,3.523809524,0.045720084,349.1060011,5.5248083,9.816
Timonius,0,Tree,III,0.071428571,0.666666667,0.05701792,174.9117943,23.73544974,10.73074074
Triomma,0,Tree,III,0.008264463,0.19047619,0.053319115,806.2257748,51.2231405,14.26
Tristaniopsis,0,Tree,III,0.015873016,0.19047619,0.026843818,806.2257748,54,16.2
Uncaria,0,Vine,III,0.02565857,5.904761905,0.045620447,108.5830455,6.236145871,10.8164
Uvaria,0,Vine,II,0.013986014,1.619047619,0.043579181,269.0042402,4.155011655,10.5975
Vatica,0,Tree,III,0.025494505,4,0.046587681,165.8978876,22.26637363,11.62534483
Vitex,0,Tree,IV,0.053475936,0.285714286,0.041636604,236.34588,19.69518717,9.473
Whitfordiodendron,0,Vine,III,0.010695187,0.380952381,0.06226158,565.6163673,8.005347594,9.085
Willughbeia,6,Vine,I,0.021556614,8.285714286,0.069247231,181.4597244,5.793968692,12.19326316
Xanthophyllum,1,Tree,III,0.008571429,4,0.065856797,205.5166737,25.0322449,10.6247619
Xylopia,0,Tree,III,0.059375,1.904761905,0.048518534,116.6905727,27.26145833,10.93368421
Ziziphus,0,Vine,III,0.011976048,1.142857143,0.049881596,369.5201468,5.285429142,10.61